country;iso;concept;conceptAbbr;year;Value
Azerbaijan;AZE;#BBP;BBP;2013;0.606903636
Albania;ALB;#BBP;BBP;2013;0.586025089
Belgium;BEL;#BBP;BBP;2013;0.802304323
Belarus;BLR;#BBP;BBP;2013;0.606422184
Bulgaria;BGR;#BBP;BBP;2013;0.557877504
Bosnia and Herzegovina;BIH;#BBP;BBP;2013;0.608346745
United Kingdom;GBR;#BBP;BBP;2013;0.704771275
Armenia;ARM;#BBP;BBP;2013;0.601596425
Greece;GRC;#BBP;BBP;2013;0.667882742
Georgia;GEO;#BBP;BBP;2013;0.555387829
Denmark;DNK;#BBP;BBP;2013;0.571268478
Estonia;EST;#BBP;BBP;2013;0.354177157
Ireland;IRL;#BBP;BBP;2013;0.624564397
Iceland;ISL;#BBP;BBP;2013;0.5
Spain;ESP;#BBP;BBP;2013;0.652037542
Italy;ITA;#BBP;BBP;2013;0.70097903
Cyprus;CYP;#BBP;BBP;2013;0.715156934
Latvia;LVA;#BBP;BBP;2013;0.373318792
Lithuania;LTU;#BBP;BBP;2013;0.543400806
Luxembourg;LUX;#BBP;BBP;2013;0.952241778
Moldova, Republic of;MDA;#BBP;BBP;2013;0.583575604
Netherlands;NLD;#BBP;BBP;2013;0.72491748
Germany;DEU;#BBP;BBP;2013;0.678974984
Norway;NOR;#BBP;BBP;2013;0.376628855
Poland;POL;#BBP;BBP;2013;0.649285899
Portugal;PRT;#BBP;BBP;2013;0.649745202
Russian Federation;RUS;#BBP;BBP;2013;0.479462171
Romania;ROU;#BBP;BBP;2013;0.554391173
Slovakia;SVK;#BBP;BBP;2013;0.601596425
Slovenia;SVN;#BBP;BBP;2013;0.698435414
Turkey;TUR;#BBP;BBP;2013;0.623617721
Hungary;HUN;#BBP;BBP;2013;0.572256511
Ukraine;UKR;#BBP;BBP;2013;0.563840637
Finland;FIN;#BBP;BBP;2013;0.199790704
France;FRA;#BBP;BBP;2013;0.634445886
Croatia;HRV;#BBP;BBP;2013;0.590423381
Czech Republic;CZE;#BBP;BBP;2013;0.666090159
Switzerland;CHE;#BBP;BBP;2013;0.739551532
Sweden;SWE;#BBP;BBP;2013;0.367672053
Austria;AUT;#BBP;BBP;2014;0.678094793
Azerbaijan;AZE;#BBP;BBP;2014;0.606903636
Albania;ALB;#BBP;BBP;2014;0.586025089
Belgium;BEL;#BBP;BBP;2014;0.802304323
Belarus;BLR;#BBP;BBP;2014;0.606422184
Bulgaria;BGR;#BBP;BBP;2014;0.557877504
Bosnia and Herzegovina;BIH;#BBP;BBP;2014;0.608346745
United Kingdom;GBR;#BBP;BBP;2014;0.704771275
Armenia;ARM;#BBP;BBP;2014;0.601596425
Greece;GRC;#BBP;BBP;2014;0.667882742
Georgia;GEO;#BBP;BBP;2014;0.555387829
Denmark;DNK;#BBP;BBP;2014;0.571268478
Estonia;EST;#BBP;BBP;2014;0.354177157
